"MonthYear","Year","Month","Region","DissAmmonia","DissNitrate","DissNitrateNitrite","DissOrthophos","DON","TKN","TotPhos","Temperature","Salinity","Turbidity","DissolvedOxygen","Chlorophyll","pH","Microcystis","Sac_Inflow","SJR_Inflow","Total_Inflow","Clam_Turnover","Clam_Filtration","CorbiculaBiomass","PotamocorbulaBiomass"
"Jan-2010",2010,1,"Confluence",0.204,2.4,0.524,0.066,0.175,0.56,0.11,9.24336638762219,1.85883462709755,30.4853333664588,9.80625,1.50166666666667,7.16836899318656,NA,831070,60610,981139,0.255,0.3375,10.9225,0.0275
"Jan-2010",2010,1,"North",0.13,1.41111111111111,0.282,0.123,0.2,0.7154187,0.202,9.28166667620341,0.2048557075597,22.2692306225116,8.79054054054054,1.94,7.5865031123303,NA,831070,60610,981139,NA,NA,NA,NA
"Jan-2010",2010,1,"SouthCentral",0.107857142857143,5.9625,1.25107142857143,0.0917857142857143,0.3,0.60016625,0.162142857142857,9.47142861230033,0.329965504721002,19.3519999425888,9.72529411764706,2.60352941176471,7.76801817087125,NA,831070,60610,981139,0.0133333333333333,0.0133333333333333,2.13666666666667,0
"Jan-2010",2010,1,"Suisun Bay",0.193333333333333,NA,0.513333333333333,0.0633333333333333,0.3,0.6,0.106666666666667,9.48266666666667,10.3538020252872,18.8578945963006,9.73333333333333,1.61857142857143,7.36984648968082,NA,831070,60610,981139,0.53,0.52,0,1.745
"Jan-2010",2010,1,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,9.58636362769387,5.73002528976117,25.7909093336626,8.63461538461539,1.775,7.24712810462011,NA,831070,60610,981139,NA,NA,NA,NA
"Feb-2010",2010,2,"Confluence",0.106666666666667,2.3,0.483333333333333,0.0533333333333333,0.45,0.666666666666667,0.18,11.2271568702177,0.128738739416771,54.8359551119927,9.2425,1.324,7.57832271615252,NA,811800,67920,988266,0.2025,0.2475,6.68,0.0025
"Feb-2010",2010,2,"North",0.0522222222222222,0.875,0.178888888888889,0.0822222222222222,0.5,0.644444444444444,0.165555555555556,11.2373015933567,0.194648076638739,60.2230773338905,7.60216216216216,1.6,7.85895367723514,NA,811800,67920,988266,NA,NA,NA,NA
"Feb-2010",2010,2,"SouthCentral",0.085,3.83333333333333,0.957,0.119,0.525,0.84,0.18,11.7235211267606,0.239046780421659,19.8440741093953,9.14,8.25,7.67390797314268,NA,811800,67920,988266,0.0866666666666667,0.09,5.22,0
"Feb-2010",2010,2,"Suisun Bay",0.11,NA,0.4375,0.055,0.475,0.625,0.105,10.8696774501185,0.574890517145421,68.8571428571429,9.225,1.69142857142857,7.5011847841228,NA,811800,67920,988266,0.72,0.775,0,2.005
"Feb-2010",2010,2,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,12.1350000095367,1.25779036374881,56.9272723804821,6.95909090909091,1.165,7.21790820017657,NA,811800,67920,988266,NA,NA,NA,NA
"Mar-2010",2010,3,"Confluence",0.103333333333333,2.2,0.413333333333333,0.0533333333333333,0.55,0.633333333333333,0.103333333333333,12.8181818297415,0.183532340542249,30.3023403647658,9.7025,2.47181818181818,7.91004308040527,NA,612100,90960,750926,0.58,0.733333333333333,14.2433333333333,0.00333333333333333
"Mar-2010",2010,3,"North",0.0604732222222222,0.945508,0.191111888888889,0.0822222222222222,0.3,0.7,0.173333333333333,13.2720930032952,0.285892099325644,24.638461626493,9.49681818181818,2.09,7.26625301400648,NA,612100,90960,750926,NA,NA,NA,NA
"Mar-2010",2010,3,"SouthCentral",0.0608664,3.33333333333333,0.696,0.075,0.7,0.74,0.115,14.1876699195788,0.220931432570971,13.04181820855,9.8488,20.754,7.8598163456799,NA,612100,90960,750926,0.0433333333333333,0.05,4.18333333333333,0
"Mar-2010",2010,3,"Suisun Bay",0.11,NA,0.466,0.07,0.44,0.66,0.114,13.4366666984558,2.42345323664438,52.3363637057218,9.72,3.07666666666667,7.94620275429235,NA,612100,90960,750926,0.95,1.075,0,2.725
"Mar-2010",2010,3,"Suisun Marsh",NA,NA,NA,NA,NA,NA,NA,13.6846153479356,1.32613557758373,92.4818181818182,8.30272727272727,1.125,7.71781498754196,NA,612100,90960,750926,NA,NA,NA,NA
